date,kp_avg,kp_max
2019-04-06,1.67,3.0
2019-04-07,1.12,2.0
2019-04-08,2.54,3.333
2019-04-09,2.21,3.333
2019-04-10,2.62,4.0
2019-04-11,1.63,2.667
2019-04-12,1.79,3.0
2019-04-13,1.62,3.0
2019-04-14,0.92,1.667
2019-04-15,1.71,2.333
2019-04-16,1.42,2.333
2019-04-17,0.67,1.667
2019-04-18,0.38,1.0
2019-04-19,1.0,1.667
2019-04-20,0.83,1.333
2019-04-21,0.71,1.667
2019-04-22,0.62,1.333
2019-04-23,1.5,3.333
2019-04-24,1.54,3.0
2019-04-25,1.17,1.667
2019-04-26,0.83,1.667
2019-04-27,1.42,2.0
2019-04-28,1.04,2.0
2019-04-29,1.08,2.0
2019-04-30,1.04,1.667
2019-05-01,2.12,4.0
2019-05-02,2.42,3.333
2019-05-03,1.79,2.667
2019-05-04,2.04,2.667
2019-05-05,0.67,1.333
2019-05-06,1.08,1.667
2019-05-07,1.12,2.0
2019-05-08,0.33,1.0
2019-05-09,1.54,2.333
2019-05-10,1.63,3.0
2019-05-11,3.67,5.0
2019-05-12,0.92,1.667
2019-05-13,1.38,2.667
2019-05-14,3.67,6.333
2019-05-15,1.29,2.333
2019-05-16,1.62,3.0
2019-05-17,0.96,2.333
2019-05-18,0.88,2.0
2019-05-19,0.54,1.667
2019-05-20,1.17,3.333
2019-05-21,0.67,1.667
2019-05-22,0.92,1.667
2019-05-23,1.08,1.667
2019-05-24,1.04,1.667
2019-05-25,0.71,1.667
2019-05-26,0.79,3.0
2019-05-27,1.92,3.333
2019-05-28,1.62,3.0
2019-05-29,2.71,3.667
2019-05-30,1.87,3.0
2019-05-31,0.83,1.667
2019-06-01,0.58,1.0
2019-06-02,0.62,2.0
2019-06-03,0.75,1.333
2019-06-04,1.67,2.333
2019-06-05,0.83,2.333
2019-06-06,0.38,0.667
2019-06-07,0.83,1.333
2019-06-08,2.63,5.333
2019-06-09,1.42,3.0
2019-06-10,0.46,0.667
2019-06-11,0.42,0.667
2019-06-12,0.67,1.333
2019-06-13,2.0,4.0
2019-06-14,1.5,2.333
2019-06-15,0.75,1.333
2019-06-16,0.83,1.333
2019-06-17,0.42,1.0
2019-06-18,0.62,1.333
2019-06-19,0.67,1.0
2019-06-20,1.54,2.333
2019-06-21,1.37,2.333
2019-06-22,0.79,1.667
2019-06-23,0.46,1.333
2019-06-24,1.08,1.667
2019-06-25,0.67,1.333
2019-06-26,1.25,1.667
2019-06-27,0.75,1.333
2019-06-28,0.83,2.0
2019-06-29,0.58,1.0
2019-06-30,0.83,2.333
2019-07-01,1.92,3.0
2019-07-02,1.17,2.0
2019-07-03,0.83,1.333
2019-07-04,1.08,2.333
2019-07-05,0.92,1.667
2019-07-06,0.62,1.0
2019-07-07,1.0,1.667
2019-07-08,1.54,3.667
2019-07-09,2.71,5.0
2019-07-10,2.62,4.667
2019-07-11,1.42,3.0
2019-07-12,1.17,2.0
2019-07-13,1.38,2.333
2019-07-14,1.17,2.333
2019-07-15,1.62,2.667
2019-07-16,1.17,1.667
2019-07-17,1.33,2.333
2019-07-18,0.67,1.333
2019-07-19,0.67,1.0
2019-07-20,0.38,0.667
2019-07-21,1.63,3.667
2019-07-22,1.83,2.333
2019-07-23,1.42,2.0
2019-07-24,0.96,1.333
2019-07-25,0.42,1.0
2019-07-26,0.25,0.333
2019-07-27,0.96,2.333
2019-07-28,1.0,1.667
2019-07-29,1.0,1.667
2019-07-30,1.67,3.333
2019-07-31,1.71,2.667
2019-08-01,1.58,3.333
2019-08-02,0.71,1.0
2019-08-03,0.33,0.667
2019-08-04,0.71,1.667
2019-08-05,3.96,5.333
2019-08-06,2.29,3.0
2019-08-07,1.42,2.333
2019-08-08,1.46,2.667
2019-08-09,1.42,2.667
2019-08-10,1.63,2.667
2019-08-11,1.29,2.333
2019-08-12,1.17,1.667
2019-08-13,1.58,2.0
2019-08-14,0.83,1.333
2019-08-15,0.75,1.333
2019-08-16,1.0,2.0
2019-08-17,0.92,2.0
2019-08-18,1.29,2.667
2019-08-19,0.67,1.0
2019-08-20,1.0,1.667
2019-08-21,0.87,1.333
2019-08-22,1.25,2.333
2019-08-23,0.83,1.667
2019-08-24,0.87,2.0
2019-08-25,0.71,1.667
2019-08-26,1.29,2.333
2019-08-27,2.33,3.0
2019-08-28,1.04,2.0
2019-08-29,0.67,1.667
2019-08-30,1.96,3.333
2019-08-31,4.5,5.667
2019-09-01,4.83,5.333
2019-09-02,3.42,5.0
2019-09-03,2.04,3.0
2019-09-04,2.46,3.0
2019-09-05,2.54,4.0
2019-09-06,1.63,3.333
2019-09-07,1.54,2.333
2019-09-08,2.08,2.667
2019-09-09,2.75,3.333
2019-09-10,0.96,2.0
2019-09-11,1.04,2.0
2019-09-12,1.38,2.0
2019-09-13,1.75,2.667
2019-09-14,1.33,2.0
2019-09-15,1.88,3.0
2019-09-16,2.08,4.0
2019-09-17,1.62,3.667
2019-09-18,1.88,3.0
2019-09-19,0.67,1.333
2019-09-20,0.54,1.0
2019-09-21,1.67,2.333
2019-09-22,0.75,2.333
2019-09-23,0.54,1.333
2019-09-24,2.38,3.667
2019-09-25,0.87,2.0
2019-09-26,0.62,2.333
2019-09-27,2.87,5.333
2019-09-28,3.67,4.667
2019-09-29,2.5,3.667
2019-09-30,2.58,3.667
2019-10-01,2.04,4.0
2019-10-02,1.5,3.0
2019-10-03,1.04,1.667
2019-10-04,1.67,2.667
2019-10-05,1.71,3.0
2019-10-06,1.04,2.0
2019-10-07,1.38,2.667
2019-10-08,1.12,1.667
2019-10-09,1.83,3.667
2019-10-10,2.42,4.333
2019-10-11,1.71,3.0
